raw_token,kind,canonical_latin,targets,note
"г. Куляб, г.Сарбанд, Хуросон, Кубодиен, Шаартуз",multi,,Kulob|Sarband|Khuroson|Qabodiyon|Shahrtuz,г.Куляб=Kulob (district exists in list); г.Сарбанд=Sarband (in list); Хуросон=Khuroson; Кубодиен=Qabodiyon; Шаартуз=Shahrtuz. All confirmed.
"г. Хорог, р-ны Шугнанский, Рошткалинский, Рушанский, Ванчский, Дарвазский, Ишкашим, Мургаб",multi,,Shughnon|Roshtqal'a|Rushon|Vanj|Darvoz|Ishkoshim|Murghob|TJ-GB,г.Хорог=Khorog city→TJ-GB; remainder are the 7 GBAO districts. Correct.
г.Истиклол,city,,TJ-SU,"Истиклол is a city in Sughd (former Taboshar/Табошар), not in the 58 district list → kind=city, targets=[TJ-SU]. Confirmed."
г.Кулоб,district,Kulob,Kulob,"City prefix г., but Kulob is the district center and Kulob exists in the 58 list → district=Kulob. Confirmed."
"г.Хорог, Рошткала, Шугнон, Ванч, Рушон, Ишкошим",multi,,Roshtqal'a|Shughnon|Vanj|Rushon|Ishkoshim|TJ-GB,г.Хорог=Khorog city→TJ-GB; remainder are GBAO districts. Correct.
д. Язгулом,city,Vanj,Vanj,"Язгулом — джамоат/долина в Ванҷском р-не ГБАО, в список 58 не входит; относится к Vanj. Прим.: административно село/долина, но за неимением kind=village корректно как city→Vanj."
дарваз,district,Darvoz,Darvoz,Lowercase Дарваз=Darvoz (GBAO). Confirmed.
дењањои Баршор ва Баѓуш,district,Ishkoshim,Ishkoshim,"CORRECTED Darvoz->Ishkoshim. Web verification: 'Бағуш'/Baghush is a confirmed village of Ishkoshim district (2021 report: victims were 'жители села Багуш Ишкашимского района'; the Darvoz link was merely a car-crash location, not the village's district). 'Баршор'/Barshor is a village on the Khorog–Ishkoshim road in SW Pamir (known Soviet bus stop 'between Khorog and Ishkashim'), not in Darvoz which lies ~240 km north of Khorog. The two villages are grouped in one record and Baghush anchors to Ishkoshim, so district = Ishkoshim."
джиликул,district,Jilikul,Jilikul,Lowercase Джиликул=Jilikul. Confirmed.
истаравшан,district,Istaravshan,Istaravshan,Lowercase Истаравшан=Istaravshan. Confirmed.
минтакаи Рашт,zone,,TJ-RA,Минтақаи Рашт inter-district zone (spelling variant) → RRP (TJ-RA).
минтаќаи Рашт,zone,,TJ-RA,Минтақаи Рашт is an inter-district zone → RRP (TJ-RA).
муминобод,district,Muminobod,Muminobod,Lowercase Муминобод=Muminobod. Confirmed.
н Айни,district,Ayni,Ayni,Ayni in list. Sughd.
н Лахш,district,Jirgatol,Jirgatol,Lakhsh = Jirgatol (renamed). RRP.
н Рудакӣ,district,Rudaki,Rudaki,Рудакӣ (б. Ленинский) = Rudaki (РРП). Верно.
н. А. Чоми,district,Dzhami,,А. Чоми = Abdurahmoni Jomi = Dzhami (Khatlon).
н. А.Ҷомӣ,district,Dzhami,Dzhami,Абдурањмони Ҷомӣ = Dzhami (Хатлон). Верно.
н. Айн 4 тарма,district,Ayni,Ayni,"«Айн» — сокращение Айнӣ = Ayni (Согд). «4 тарма» мусор. Верно, conf medium уместна."
н. Айни,district,Ayni,TJ-SU,"'н.'=nohiya prefix; Ayni district, Sughd. Confirmed."
н. Айни 2 сел,district,Ayni,Ayni,Ayni; mudflow noise.
н. Айнӣ,district,Ayni,TJ-SU,"Tajik spelling 'Айнӣ' with 'н.' prefix; Ayni district, Sughd. Confirmed."
н. Айнӣ 2 тарма,district,Ayni,,Айнӣ → Ayni; «2 тарма» is garbage.
н. Айнӣ 4 тарма,district,Ayni,Ayni,Ayni (Sughd); count noise.
н. Айнӣ 5 тарма,district,Ayni,Ayni,'5 тарма'=noise. Ayni (Sughd). Correct.
н. Ак- Торпок,foreign,,Kyrgyzstan,"Ак-Торпок, Кыргызстан (по списку). Верно."
н. Ашт,district,Asht,,Asht district (Sughd).
н. Б. Гафуров,district,Ghafurov,,B. Ghafurov = Bobojon Ghafurov district (Sughd).
н. Б. Ғафуров,district,Ghafurov,,B. Ghafurov = Bobojon Ghafurov district (Sughd).
н. Б.Гафуров,district,Ghafurov,,Б.Гафуров = Bobojon Ghafurov → Ghafurov (Sughd).
н. Балчувон,district,Baljuvon,,Балҷувон → Baljuvon.
н. Балҷувон,district,Baljuvon,Baljuvon,Балҷувон=Baljuvon (Хатлон). Верно.
н. Бохтар,district,Bokhtar,,"Бохтар district (former Кушониён) → Bokhtar, the geoBoundaries key."
н. Ванч,district,Vanj,,Ванч/Ванҷ → Vanj (GBAO).
н. Ванҷ,district,Vanj,,"ГБАО, Вандж = Vanj."
н. Ванҷ 1 тарма,district,Vanj,Vanj,Ванҷ = Vanj (ГБАО). «1 тарма» мусор. Верно.
н. Ванҷ 2 то,district,Vanj,Vanj,Ванҷ = Vanj; «2 то» — мусор/счётчик. Верно.
"н. Ванҷ 4 сангрез, н Дарвоз 1 тарма, н. Рушон 7 то",multi,,Vanj|Darvoz|Rushon,Three GBAO districts in one token; counters garbage. All in list.
н. Варзоб,district,Varzob,TJ-RA,"'н.'=nohiya prefix; Varzob district, RRP. Confirmed."
н. Варзоб 1 тарма,district,Varzob,Varzob,'1 тарма'=noise. Varzob (RRP). Correct.
н. Варзоб 15 то тарма,district,Varzob,Varzob,Варзоб=Varzob (РРП). «15 то тарма» — шум. Верно.
н. Варзоб 17 тарма,district,Varzob,Varzob,Варзоб = Varzob (РРП). «17 тарма» мусор. Верно.
н. Варзоб 2 сел,district,Varzob,Varzob,Varzob; mudflow noise.
н. Варзоб 2 тарма,district,Varzob,,"Варзоб → Varzob (RRP); '2 тарма' garbage, ignored."
н. Варзоб 3 тарма,district,Varzob,,"Варзоб → Varzob; '3 тарма' garbage, ignored."
н. Варзоб 4 сангрез,district,Varzob,Varzob,Varzob; 'сангрез'=rockfall event noise.
н. Варзоб 4 тарма,district,Varzob,Varzob,Варзоб=Varzob (РРП). «4 тарма» — шум. Верно.
н. Варзоб 5 тарма,district,Varzob,Varzob,Varzob; count noise.
н. Варзоб 51 тарма,district,Varzob,Varzob,Varzob; count noise.
н. Варзоб 6 тарма,district,Varzob,Varzob,Варзоб = Varzob; «6 тарма» — мусор. Верно.
н. Варзоб 9 тарма,district,Varzob,Varzob,Varzob (RRP) canonical; count noise.
"н. Варзоб км 59,320",district,Varzob,Varzob,"Варзоб = Varzob; «км 59,320» — привязка к трассе, мусор. Верно."
н. Вахш,district,Vakhsh,,Вахш = Vakhsh.
н. Ваҳдат,district,Vahdat,Vahdat,Vahdat (former Kofarnihon/Ordzhonikidzeabad).
н. Восеъ,district,Vose',,Восе/Восеъ = Vose'.
н. Гарм,district,Rasht,,"Garm = former name of Rasht district, RRP."
н. Дангара,district,Danghara,,Дангара → Danghara.
н. Данғара,district,Danghara,,Данғара → Danghara.
н. Дарвоз,district,Darvoz,TJ-GB,"'н.'=nohiya prefix; Darvoz district, GBAO. Confirmed."
н. Дарвоз 2 тарма,district,Darvoz,Darvoz,Darvoz district; trailing count noise.
н. Дарвоз 2то тарма,district,Darvoz,Darvoz,Дарвоз=Darvoz (ГБАО). «2то тарма» — шум. Верно.
н. Дарвоз 3 тарма,district,Darvoz,Darvoz,Darvoz; count noise.
н. Дарвоз 5 тарма,district,Darvoz,Darvoz,Darvoz (GBAO) is canonical; '5 тарма'=avalanche count noise.
н. Дарвоз 7 сел,district,Darvoz,Darvoz,Darvoz; mudflow noise.
н. Дарвоз 7 тарма,district,Darvoz,Darvoz,'7 тарма' garbage. Darvoz in list. GBAO.
"н. Дарвоз, Рушон 7-то",multi,,Darvoz|Rushon,Two GBAO districts; '7-то' garbage.
н. Деваштич,district,Ghonchi,,Devashtich = new name of Ghonchi (Sughd).
н. Дустӣ,city,Qumsangir,Qumsangir,"Dusti = center town of Jayhun (former Qumsangir); Jayhun->Qumsangir per canon; town, not a separate district."
н. Дӯсти,city,Qumsangir,Qumsangir,"Дӯсти — центр района Qumsangir/Ҷайҳун → city, canonical Qumsangir. Верно."
н. Зафаробод,district,Zafarobod,,Zafarobod district (Sughd).
н. И. Сомони,city,,TJ-DU,Исмоили Сомони — район города Душанбе → TJ-DU.
н. И. Сомонӣ,city,,TJ-DU,Исмоили Сомони — район города Душанбе → TJ-DU.
н. И.Сомони,city,,TJ-DU,Исмоили Сомони — район города Душанбе → TJ-DU.
н. И.Сомонӣ,city,,TJ-DU,"Исмоили Сомони — район г. Душанбе → TJ-DU, canonical пусто. Верно."
н. Истаравшан,district,Istaravshan,,Истаравшан (b. Ura-Tyube) → Istaravshan (Sughd).
н. Ишкошим,district,Ishkoshim,TJ-GB,"'н.'=nohiya prefix; Ishkoshim district, GBAO. Confirmed."
н. Ишкошим 14 тарма,district,Ishkoshim,Ishkoshim,Ishkoshim; count noise.
н. Ишкошим 2 тарма,district,Ishkoshim,Ishkoshim,Ishkoshim district; count noise.
н. Ишкошим 2 то,district,Ishkoshim,Ishkoshim,Ишкошим = Ishkoshim; «2 то» — мусор. Верно.
"н. Ишкошим 2 то, н. Ванч 2 то, н. Рушон 3 то",multi,,Ishkoshim|Vanj|Rushon,Three GBAO districts; Ванч=Vanj; counters garbage.
н. Ишкошим 2то тарма,district,Ishkoshim,Ishkoshim,Ишкошим=Ishkoshim (ГБАО). «2то тарма» — шум. Верно.
н. Ишкошим 3 тарма,district,Ishkoshim,,Ишкошим → Ishkoshim (GBAO); «3 тарма» is garbage.
н. Ишкошим 5 тарма,district,Ishkoshim,Ishkoshim,Ишкошим=Ishkoshim (ГБАО). «5 тарма» — шум. Верно.
н. Ишкошим 6 тарма,district,Ishkoshim,Ishkoshim,Ишкошим = Ishkoshim; «6 тарма» — мусор. Верно.
н. Ишкошим 7 тарма,district,Ishkoshim,Ishkoshim,Ishkoshim (GBAO); count noise.
н. Ишкошим 8 тарма,district,Ishkoshim,Ishkoshim,Ишкошим = Ishkoshim; «8 тарма» (лавины) — мусор. Верно.
н. Ишкошим 9 тарма,district,Ishkoshim,Ishkoshim,Ishkoshim; count noise.
н. Ишкошим7 тарма,district,Ishkoshim,,"Ishkoshim district, GBAO; '7 тарма' is noise fused to the name."
н. Конибодом,district,Konibodom,,Конибодом → Konibodom.
н. Красногвардейский,foreign,,Russia,Krasnogvardeysky is a Russian district [critic fix]
н. Кухистони Масчох,district,Kuhistoni Mastchoh,,"Кӯҳистони Мастчоҳ (Gorno-Matcha) → Kuhistoni Mastchoh, distinct from lowland Mastchoh."
н. Кушониён,district,Bokhtar,,Kushoniyon = renamed Bokhtar district (2017); canonical key Bokhtar.
н. Куҳистони Мастчоҳ,district,Kuhistoni Mastchoh,,Kuhistoni Mastchoh (mountainous Matcha) district (Sughd).
н. Куҳистони Мастчоҳ 2 сел,district,Kuhistoni Mastchoh,Kuhistoni Mastchoh,Gorno-Matchinsky/Kuhistoni Mastchoh -> Kuhistoni Mastchoh; mudflow noise.
н. Кўњистони Мастчоњ,district,Kuhistoni Mastchoh,Kuhistoni Mastchoh,Кӯҳистони Мастчоҳ = Горно-Матчинский → Kuhistoni Mastchoh (Согд). Верно.
н. Лахш,district,Jirgatol,,Лахш = переименованный (2016) Джиргаталь = Jirgatol в каноне.
н. Лахш 3 тарма,district,Jirgatol,Jirgatol,Лахш = Lakhsh = переименованный Jirgatol. «3 тарма» мусор. Верно.
н. Леваканд,district,Sarband,Sarband,"Levakant/Levakand = 2016 rename of Sarband; Sarband is in the canonical 58, district prioritized (prefix н.)."
н. М.А. Хамадони,district,Hamadoni,Hamadoni,М.А. = Мир Саид Алии Ҳамадонӣ = Hamadoni. Верно.
н. М.С.А. Ҳамадони,district,Hamadoni,Hamadoni,М.С.А. = Мир Саид Алии Ҳамадонӣ = Hamadoni. Верно.
н. Мастчох,district,Mastchoh,,Plain Мастчоҳ → lowland Mastchoh (not Kuhistoni Mastchoh).
н. Мастчохи Кухӣ,district,Kuhistoni Mastchoh,Kuhistoni Mastchoh,"Мастчоҳи Кӯҳӣ (горный) = Кӯҳистони Мастчоҳ = Kuhistoni Mastchoh, отличен от равнинного Mastchoh. Верно."
н. Мастчоҳ,district,Mastchoh,Mastchoh,"Равнинный Мастчоҳ = Mastchoh (Согд), отличен от Кӯҳистони Мастчоҳ. Верно."
н. Масчоҳ,district,Mastchoh,,"Масчоҳ without «Кӯҳистони» → lowland Mastchoh (Matcha), Sughd."
н. Масчоҳ 3 сел,district,Mastchoh,Mastchoh,"Maschoh (lowland Matcha) -> Mastchoh; no 'Kuhistoni' prefix, so not the mountain district; mudflow noise."
н. Муминобод,district,Muminobod,,Муминобод → Muminobod.
н. Мургоб,district,Murghob,,"ГБАО, Мургаб = Murghob."
н. Мурғоб,district,Murghob,,Мурғоб → Murghob (GBAO).
н. Нуробод,district,Nurobod,,Nurobod district (RRP).
н. Панч,district,Panj,,Панҷ → Panj.
н. Панҷ,district,Panj,Panj,Panj district (Khatlon). Correct.
н. Рашт,district,Rasht,TJ-RA,"'н.'=nohiya prefix; Rasht district (former Garm), RRP. Confirmed."
н. Рашт 2 адад,district,Rasht,Rasht,Rasht (RRP); 'адад'=count noise.
н. Рашт 3 тарма,district,Rasht,Rasht,Рашт (б. Гарм) = Rasht. «3 тарма» мусор. Верно.
н. Рашт 3 ҳодиса,district,Rasht,Rasht,Rasht; 'ҳодиса'=incident count noise.
н. Рошткалъа,district,Roshtqal'a,,Roshtqal'a district (GBAO); apostrophe form matches canonical.
н. Рошткалъа 2 тарма,district,Roshtqal'a,Roshtqal'a,Рошткалъа spelling variant -> Roshtqal'a; apostrophe form matches canon.
н. Рошткалъа 3 тарма,district,Roshtqal'a,Roshtqal'a,Roshtqal'a district; count noise.
н. Роштқалъа,district,Roshtqal'a,,Роштқалъа → Roshtqal'a (GBAO); apostrophe form matches list.
н. Роштқалъа 3 то,district,Roshtqal'a,Roshtqal'a,н.=ноҳия; '3 то' counter garbage. Roshtqal'a in 58-list. GBAO.
н. Роштқалъа 4 тарма,district,Roshtqal'a,Roshtqal'a,Cyrillic q variant Roshtqalya -> Roshtqal'a; count noise.
н. Рудаки,district,Rudaki,TJ-RA,"'н.'=nohiya prefix; Rudaki district, RRP. Confirmed."
н. Рудакӣ,district,Rudaki,,Б. Ленинский = Rudaki.
н. Рушон,district,Rushon,TJ-GB,"'н.'=nohiya prefix; Rushon district, GBAO. Confirmed."
н. Рушон 10 тарма,district,Rushon,Rushon,Rushon; count noise.
н. Рушон 18 тарма,district,Rushon,Rushon,Rushon; count noise.
н. Рушон 2 сел,district,Rushon,Rushon,Rushon; 'сел'=mudflow noise.
н. Рушон 2 тарма,district,Rushon,Rushon,Рушон=Rushon. «2 тарма» — шум. Верно.
н. Рушон 25 тарма,district,Rushon,Rushon,Rushon; count noise.
н. Рушон 2то тарма,district,Rushon,,"Рушон → Rushon (GBAO); «2то тарма» is a row-count note/garbage, ignored."
н. Рушон 3 тарма,district,Rushon,Rushon,Рушон=Rushon (ГБАО). «3 тарма» — шум. Верно.
н. Рушон 4 тарма,district,Rushon,Rushon,Rushon (GBAO) canonical; count noise.
н. Рушон 8 тарма,district,Rushon,,"Rushon district, GBAO; '8 тарма' is noise."
н. Рӯдакӣ,district,Rudaki,Rudaki,"Rudaki (former Leninsky), RRP. Correct."
н. Сангвор,district,Tavildara,,Сангвор = переименованный (2017) Тавильдара; канон использует старое имя Tavildara.
н. Сангвор 1 тарма,district,Tavildara,Tavildara,Сангвор → Tavildara. «1 тарма» мусор. Верно.
н. Сангвор 2 сел,district,Tavildara,Tavildara,"Сангвор (та же территория, что Tavildara — переименование/выделение) нет в 58 → Tavildara. «2 сел» мусор. Верно."
н. Сангвор 2 тарма,district,Tavildara,Tavildara,"Verified: Tavildara district renamed Sangvor in 2016 (same territory, not a split); canonical/geoBoundaries key is Tavildara. '2 тарма'=noise. Correct."
н. Сангвор 20 тарма,district,Tavildara,,Sangvor = 2016 rename of Tavildara → canonical Tavildara; '20 тарма' is noise (household/branch count).
н. Сангвор 3 тарма,district,Tavildara,Tavildara,Сангвор → Tavildara (нет в 58). «3 тарма» мусор. Верно.
н. Сангвор 4 ҳодиса,district,Tavildara,Tavildara,Sangvor = renamed Tavildara; canonical key Tavildara; count noise.
н. Сангвор 5 сел,district,Tavildara,Tavildara,Sangvor = 2016/17 rename of Tavildara; canonical key is Tavildara; mudflow noise.
н. Сино,city,,TJ-DU,"Sino is a city district of Dushanbe despite 'н.' prefix; kind=city, empty canonical, TJ-DU. Confirmed."
н. Сино 1 ҳодиса; н. И. Сомонӣ 2 ҳодиса,city,,TJ-DU,"Sino and Ismoili Somoni are Dushanbe city districts -> kind=city, targets=[TJ-DU]; counts are noise."
н. Сино-2,city,,TJ-DU,"Сино-2 — подрайон Душанбе → city, TJ-DU. Верно."
н. Спитамен,district,Spitamen,,Спитамен → Spitamen (Sughd).
н. Темурмалик,district,Temurmalik,,Temurmalik (ex-Sovetsky) district (Khatlon).
н. Точикобод,district,Tojikobod,,Точикобод → Tojikobod (RRP).
н. Тоҷикобод,district,Tojikobod,,Tojikobod district (RRP).
н. Тоҷикобод 2 тарма,district,Tojikobod,Tojikobod,н.=nohiya; '2 тарма'=noise. Tojikobod (RRP). Correct.
н. Тоҷикобод 4 тарма,district,Tojikobod,Tojikobod,Tojikobod; count noise.
н. Тоҷикобод 5 тарма,district,Tojikobod,Tojikobod,Tojikobod (RRP); count noise.
н. Файзобод,district,Faizobod,,Faizobod district (RRP).
н. Фархор,district,Farkhor,,Фархор/Фарҳор → Farkhor (Khatlon).
н. Фирдавси,city,,TJ-DU,Фирдавси — район города Душанбе → TJ-DU.
"н. Фирдавси, Сино, И. Сомонӣ",city,,TJ-DU,"Firdavsi/Sino/Ismoili Somoni are Dushanbe city districts -> kind=city, targets=[TJ-DU] per canon (not multi, since they are city sub-districts)."
н. Фирдавсӣ,city,,TJ-DU,Фирдавси — район города Душанбе → TJ-DU.
н. Фирдасӣ,city,,TJ-DU,"Опечатка Фирдавсӣ — район Душанбе → city, TJ-DU. Верно."
н. Ховалинг,district,Khovaling,,Ховалинг → Khovaling (Khatlon).
н. Хуросон,district,Khuroson,,Хуросон = Khuroson.
н. Хуросон. Данғара.Ҳисор,multi,,Khuroson|Danghara|Hisor,"Три района в одном токене: Хуросон, Данғара, Ҳисор. Верно."
н. Ч. Расулов,district,Jabbor Rasulov,Jabbor Rasulov,Ҷ.Расулов = Jabbor Rasulov (б. Пролетарск). Верно.
н. Ч.Балхи,district,Rumi,Rumi,Ч.Балхи = Ҷалолиддини Балхӣ = б. Руми/Колхозобод → Rumi (Хатлон). Верно.
н. Ч.Расулов,district,Jabbor Rasulov,,Ч.Расулов/Расулов → Jabbor Rasulov.
н. Чайхун,district,Qumsangir,Qumsangir,Чайхун/Джайхун — переименованный Кумсангир → Qumsangir. Верно.
н. Ш. Шохин,district,Shuro-obod,,"Shamsiddin Shohin = renamed Shurobod district (2016), Khatlon."
н. Ш. Шоҳин,district,Shuro-obod,,Ш. Шоҳин = Shamsiddin Shohin = renamed Shurobod (2018); join key Shuro-obod (Khatlon).
н. Ш.Шоҳин,district,Shuro-obod,Shuro-obod,Шамсиддини Шоҳин — новое имя Шӯробод = Shuro-obod (Хатлон). Подтверждено. Верно.
н. Шартуз,district,Shahrtuz,Shahrtuz,Шартуз = Shahrtuz. Верно.
н. Шахринав,district,Sharinav,,Shahrinav = Sharinav district (RRP).
н. Шахристон,district,Shahriston,,Шахристон/Шаҳристон → Shahriston (Sughd).
н. Шахритус,district,Shahrtuz,Shahrtuz,Шаҳритус — опечатка Shahrtuz. Верно.
н. Шаҳринав,district,Sharinav,,Шаҳринав → Sharinav (RRP); list spelling Sharinav.
н. Шаҳристон,district,Shahriston,,Shahriston district (Sughd).
н. Шаҳритуз,district,Shahrtuz,Shahrtuz,Шаҳритуз/Шаартуз = Shahrtuz (Хатлон). Верно.
н. Шаҳритус,district,Shahrtuz,Shahrtuz,Шаҳритус — вариант написания Shahrtuz. Верно.
н. Шохин,district,Shuro-obod,Shuro-obod,"Шоҳин = район Шамсиддин Шоҳин, б. Шӯрообод (переименован 2016) → Shuro-obod (Хатлон). Соответствие подтверждено."
н. Шохмансур,city,,TJ-DU,Шохмансур — район города Душанбе → TJ-DU.
"н. Шохмансур, И. Сомонӣ, Фирдавсӣ",city,,TJ-DU,"Three Dushanbe city-districts (Shohmansur, Ismoili Somoni, Firdavsi); all resolve to region TJ-DU, so city/TJ-DU is faithful (not multi, since none is in the 58)."
н. Шоҳмансур,city,,TJ-DU,"Shohmansur = district of Dushanbe city → city, TJ-DU."
н. Шугнон,district,Shughnon,,Shughnon district (GBAO).
н. Шугнон 2то тарма,district,Shughnon,Shughnon,"Шугнон=Shughnon (ГБАО). «2то тарма» — счётчик лавин, шум. Верно."
н. Шугнон 6то тарма,district,Shughnon,Shughnon,Шугнон=Shughnon. «6то тарма» — шум. Верно.
н. Шуғнон,district,Shughnon,,"ГБАО, Шугнан = Shughnon."
н. Шуғнон 14 то,district,Shughnon,Shughnon,'14 то' garbage. Shughnon in list. GBAO.
н. Шуғнон 2 тарма,district,Shughnon,,"Шуғнон → Shughnon (GBAO); '2 тарма' is a garbage fragment, ignored."
н. Шуғнон 2 то,district,Shughnon,,Шуғнон → Shughnon (GBAO); «2 то» is garbage.
н. Шуғнон 3 тарма,district,Shughnon,,Same base; '3 тарма' garbage → Shughnon.
н. Шуғнон 3 то,district,Shughnon,Shughnon,"Shughnon district (GBAO); '3 то' = count noise, ignored. Confirmed."
н. Шуғнон 4 тарма,district,Shughnon,Shughnon,"Шуғнон=Shughnon (ГБАО). «4 тарма» — счётчик лавин, шум. Верно."
н. Шуғнон 6 тарма,district,Shughnon,Shughnon,Shughnon (GBAO); count noise.
н. Шуғнон 7 тарма,district,Shughnon,Shughnon,Shughnon; count noise.
н. Шуғнон 7 то,district,Shughnon,Shughnon,'7 то' garbage. Shughnon. GBAO.
н. Шуғнон 9 тарма,district,Shughnon,Shughnon,Shughnon; count noise.
н. Қубодиён,district,Qabodiyon,Qabodiyon,Qubodiyon -> Qabodiyon (Khatlon) per canon.
н. Ҳамадонӣ,district,Hamadoni,Hamadoni,"Ҳамадонӣ (б. Московский) = Hamadoni, Хатлон. В списке 58. Верно."
н. Ҳисор,district,Hisor,Hisor,Hisor district (RRP). Correct.
н. Ҷ. Балхи,district,Rumi,Rumi,Ҷалолиддини Балхи = переименованный Rumi/Колхозобод; join-ключ Rumi. Верно.
н. Ҷ. Расудов,district,Jabbor Rasulov,Jabbor Rasulov,Опечатка д↔л: Расудов=Расулов → Ҷаббор Расулов (б. Пролетарск). Верно.
н. Ҷайҳун,district,Qumsangir,Qumsangir,Ҷайҳун/Джайхун = переименованный Кумсангир → Qumsangir (Хатлон). Историческое соответствие подтверждено.
н.Бохтар,district,Bokhtar,Bokhtar,Bokhtar in 58-list as a district. Khatlon.
н.Деваштич,district,Ghonchi,Ghonchi,'н.Деваштич' = Devashtich -> Ghonchi (Sughd). Confirmed.
н.Рашт,district,Rasht,,"Rasht district, RRP."
н.Сино,city,,TJ-DU,"Сино — район Душанбе → city, TJ-DU. Верно."
н.Спитамен,district,Spitamen,Spitamen,Spitamen district (Sughd). Confirmed.
ноьияи Айни,district,Ayni,Ayni,Typo 'ноьияи' for 'ноҳияи'; Ayni district (Sughd). Confirmed.
ноњия Варзоб.,district,Varzob,Varzob,Varzob in list. RRP.
ноњия Нуробод,district,Nurobod,Nurobod,Nurobod (former Komsomolobod/Darband). In list. RRP.
ноњия Рўдакї,district,Rudaki,Rudaki,Rudaki (former Leninsky). In list. RRP.
ноњия Тољикобод.,district,Tojikobod,Tojikobod,Тоҷикобод = Tojikobod. Верно.
ноњияи Ёвон,district,Yovon,Yovon,Ёвон=Yovon (Хатлон). Верно.
ноњияи Ѓончи,district,Ghonchi,Ghonchi,'Ғончи' = Ghonchi district (Sughd). Confirmed.
ноњияи Љ.Балхи.,district,Rumi,,Jaloliddini Balkhi = former Rumi/Kolkhozobod → Rumi.
ноњияи Љ.Балхї.,district,Rumi,,Jaloliddini Balkhi = former Rumi/Kolkhozobod → canonical Rumi.
ноњияи Љ.Румї,district,Rumi,Rumi,'Ҷ.Румӣ' = Jaloliddini Rumi/Balkhi (former Kolkhozobod). Project crosswalk confirms Rumi=Колхозобод. Canonical Rumi is in the 58 list.
ноњияи Љайњун.,district,Qumsangir,,Jayhun (Љайњун) is the 2016 rename of Qumsangir District; ruleset maps Джайхун/Љайњун→Qumsangir.
ноњияи Њисор,district,Hisor,Hisor,Ҳисор=Hisor (РРП). Верно.
ноњияи Ќордайи вилояти Љамбил,foreign,,Kazakhstan,"'Korday district of Jambyl Region' = Korday, Jambyl Region, Kazakhstan."
ноњияи Ќубодиён,district,Qabodiyon,Qabodiyon,Qubodiyon = Qabodiyon. In list. Khatlon.
ноњияи Ќумсангир.,district,Qumsangir,,Qumsangir district (now within Jayhun) → canonical Qumsangir.
ноњияи А.Љомї,district,Dzhami,Dzhami,А.Ҷомӣ = Абдурањмони Ҷомӣ → Dzhami (Хатлон). Верно.
ноњияи Айни,district,Ayni,Ayni,Айни=Ayni (Согд). Верно.
ноњияи Айнї,district,Ayni,,Ayni district (Sughd).
ноњияи Айнї.,district,Ayni,,Айнӣ → Ayni (Sughd).
ноњияи Ашт,district,Asht,Asht,Ашт = Asht. Верно.
ноњияи Ашт.,district,Asht,Asht,ноҳияи Ашт. Asht in list. Sughd.
ноњияи Б. Ѓафуров,district,Ghafurov,,"B. Ghafurov district, Sughd."
ноњияи Б. Ѓафуров.,district,Ghafurov,Ghafurov,Б.Ғафуров = Bobojon Ghafurov. In list. Sughd.
ноњияи Б. Щафуров,district,Ghafurov,,B. Ghafurov; Щ is a garbled Ғ.
ноњияи Б.Ѓафуров.,district,Ghafurov,Ghafurov,Б.Ѓафуров = Бободжон Гафуров = Ghafurov. Верно.
ноњияи Балљувон,district,Baljuvon,Baljuvon,Балҷувон=Baljuvon (Хатлон). Верно.
ноњияи Бохтар.,district,Bokhtar,,Bokhtar rural district (renamed Kushoniyon 2017) → canonical Bokhtar; distinct from Bokhtar city.
ноњияи Бўстон,city,,TJ-SU,"Buston (former Chkalovsk) is a city in Sughd, not in 58-list → region TJ-SU."
ноњияи Ванљ,district,Vanj,Vanj,Vanj district (GBAO). Confirmed.
ноњияи Ванљ.,district,Vanj,,Ванҷ → Vanj (GBAO); trailing dot garbage.
ноњияи Варзоб,district,Varzob,,ноҳияи Варзоб = Varzob district (RRP).
ноњияи Варзоб.,district,Varzob,,Варзоб → Varzob (RRP).
ноњияи Вахш,district,Vakhsh,Vakhsh,Vakhsh in list. Khatlon.
ноњияи Вахш.,district,Vakhsh,,"Vakhsh district, Khatlon."
ноњияи Восеъ,district,Vose',,Восеъ → Vose' (with apostrophe as in list).
ноњияи Восеъ.,district,Vose',,"Vose' district, Khatlon."
ноњияи Гулистон.,city,,TJ-SU,"Guliston = 2016 rename of Kayrakkum city, Sughd; not among the 58 → region TJ-SU per ruleset."
ноњияи Данѓара.,district,Danghara,Danghara,Данѓара = Danghara. Верно.
ноњияи Дарвоз,district,Darvoz,,Дарвоз → Darvoz (GBAO).
ноњияи Дарвоз.,district,Darvoz,Darvoz,Дарвоз = Darvoz. Верно.
ноњияи Деваштич,district,Ghonchi,,"Деваштич = new name of Ғончӣ → Ghonchi (join key, Sughd)."
ноњияи Деваштич.,district,Ghonchi,Ghonchi,Devashtich -> Ghonchi (Sughd). Confirmed.
ноњияи Деваштиљ,district,Ghonchi,Ghonchi,Devashtich -> Ghonchi (Sughd). Confirmed.
ноњияи Деваштиљ.,district,Ghonchi,Ghonchi,Devashtich -> Ghonchi (Sughd). Confirmed.
ноњияи Дўсти,district,Qumsangir,Qumsangir,"Dusti is the administrative center of Jayhun district (former Qumsangir), Khatlon; token 'ноҳияи Дӯсти' -> Qumsangir. Not Jilikul (separate district). District priority applies."
